fecha,GEO_1,GEO_2,Distancia_Km,Tiempo_A
2019041632375,"4.70038502,-74.1205286","4.7109886,-74.072092",8.02,0.943055555555556
C2019060201426,"4.74989333,-74.06011443","4.7561651,-74.0383495",4.801,0.537777777777778
2019092040723,"4.74931253,-74.04636006","4.74371891,-74.0428001",1.24,1.49555555555556
2019081224417,"4.6294899,-74.0900271","4.72082759,-74.05595439",13.710999999999999,2.61194444444444
2019021221065,"4.65561358,-74.11283948","4.6874418,-74.06670456",10.683,1.51305555555556
2019050202373,"4.62377387,-74.13275346","4.61599172,-74.06636093",9.863999999999999,1.1838888888888899
2019032240758,"4.58875617,-74.08425122","4.72012619,-74.06183699",20.678,1.61527777777778
2019071631082,"4.68915614,-74.13125424","4.59325057,-74.08657034",13.865,1.18083333333333
2019011120359,"4.57680492933593,-74.0807666257024","4.5989543,-74.0943126",3.5639999999999996,1.27805555555556
2019041632389,"4.73420357,-74.05854389","4.62252,-74.0677106",14.091,0.958333333333333
2019013056247,"4.69235325,-74.06113262","4.61537779,-74.0808968",11.229000000000001,0.7677777777777779
2019050610863,"4.67180769,-74.04656135","4.67107415,-74.06789362",4.823,0.9363888888888892
2019070815712,"4.68675261,-74.1079922","4.61155283,-74.18500331",14.869000000000002,1.31333333333333
2019120304338,"4.68019282,-74.11651397","4.67301631,-74.05052392",11.627,0.39638888888888896
2019050713940,"4.64922606,-74.0740683","4.69845258,-74.07691884",9.568,0.35861111111111105
2019101737561,"4.67252712,-74.07309169","4.66122603,-74.07360811",2.262,0.911944444444444
2019100716136,"4.62889416,-74.08252466","4.6801556,-74.08754464",8.685,0.9536111111111109
2019030102384,"4.6257277,-74.113627","4.5055624,-74.1014872",20.726999999999997,0.745555555555556
2019032955495,"4.63319576,-74.09815079","4.7109886,-74.072092",12.092,0.7275
2019081631331,"4.74938026,-74.06596363","4.74726767,-74.05591585",2.0069999999999997,0.6586111111111109
2019050305082,"4.67926311,-74.0478755","4.64837207,-74.07503764",6.055,0.536944444444444
2019073163518,"4.5652931,-74.11044473","4.64431507,-74.11824837",13.285,0.9025
2019070305375,"4.64403184,-74.11159909","4.59708399,-74.12119087",6.632000000000001,0.5008333333333329
2019120509250,"4.607359,-74.0916103","4.7135384,-74.0539551",15.049000000000001,1.9069444444444401
2019030407654,"4.71158139,-74.06851712","4.72181694,-74.04666624",5.015,0.319444444444444
2019101839892,"4.71918586,-74.05468733","4.6713128,-74.0675102",7.402,0.293333333333333
2019070916526,"4.71914843,-74.03929369","4.74423078,-74.04212968",4.481,2.08222222222222
2019061119999,"4.6308695,-74.1718908","4.50741913,-74.10468252",19.8,1.32055555555556
2019021934522,"4.68310886,-74.1535677","4.7109886,-74.072092",15.722999999999999,0.8513888888888891
2019080305923,"4.67171386,-74.0434484","4.59541716,-74.08951462",14.222000000000001,0.20166666666666697
2019100919465,"4.72087672,-74.03979023","4.713343,-74.052209",2.802,0.535555555555556
2019021934481,"4.54737112,-74.1371447","4.66572268,-74.06524722",19.283,1.03527777777778
2019071120809,"4.6890218,-74.05138453","4.66122603,-74.07360811",6.145,0.7716666666666671
2019062243707,"4.66756957,-74.10497031","4.68405612,-74.06555351",9.111,0.27666666666666695
2019020814487,"4.69345534,-74.03383794","4.77628005,-74.04278824",14.097000000000001,0.9163888888888891
2019072754981,"4.659651,-74.0588823","4.6440873,-74.1054711",7.859,0.379444444444444
2019102353178,"4.6838235,-74.12664803","4.67074565,-74.1138631",4.456,1.49527777777778
2019083060416,"4.65284816,-74.07299051","4.65518707,-74.0653696",1.7,0.35361111111111104
2019102454091,"4.73712201,-74.05108815","4.628338,-74.109036",17.562,0.36861111111111106
2019050202145,"4.66677155,-74.08418734","4.7109886,-74.072092",7.212000000000001,0.675555555555556
2019111124261,"4.80967044662718,-74.0409072828979","4.71502281,-74.05555085",11.408,0.645277777777778
C2019030900703,"4.7010256,-74.12722237","4.5658912,-74.1270274",19.362000000000002,0.9869444444444441
2019101943828,"4.657308,-74.1092662","4.7112768,-74.1046292",10.427999999999999,0.26555555555555604
2019062753980,"4.69345534,-74.03383794","4.6292502,-74.10945358",14.136,1.7616666666666698
2019081223300,"4.72891953,-74.03314429","4.7132472,-74.05231544",4.444,2.6816666666666698
2019051121496,"4.76991167,-74.03304005","4.74069977,-74.04234626",6.581,0.505
2019072243229,"4.66106314,-74.13037243","4.59320658,-74.09442027",12.323,1.6133333333333302
2019101839491,"4.61773481,-74.1220637","4.6207472,-74.0995809",2.911,2.45055555555556
2019031325308,"4.69573619,-74.17130488","4.63267169,-74.14670558",11.277999999999999,1.3038888888888898
2019042956977,"4.59143059,-74.13772914","4.71864924,-74.05462525",20.646,0.8461111111111109
2019102862397,"4.6675299,-74.10501375","4.68437641,-74.0655008",9.068,0.821666666666667
2019103067753,"4.61339959,-74.12797885","4.65087373,-74.06545952",12.470999999999998,1.1911111111111101
2019051733419,"4.7109886,-74.072092","4.61599172,-74.06636093",13.664000000000001,1.56527777777778
2019042957236,"4.75524874,-74.03769664","4.7109886,-74.072092",9.341000000000001,0.28333333333333305
2019081223374,"4.70409693,-74.04692626","4.7109886,-74.072092",3.285,0.999166666666667
2019010508778,"4.69504026,-74.04693344","4.64757475,-74.10832344",11.997,0.437777777777778
2019121333708,"4.63044,-74.1378","4.60954271,-74.13822606",2.721,0.899444444444444
2019012954331,"4.70621611,-74.03660663","4.6544867,-74.07953138",9.513,0.674166666666667
2019020712491,"4.60298813,-74.18266094","4.6933107,-74.0762579",19.448,0.517777777777778
2019122775879,"4.67989103,-74.04566667","4.65498891,-74.06918588",7.23,0.421388888888889
2019122774962,"4.6137143,-74.1325825","4.6272162,-74.1086158",4.676,0.761666666666667
2019091120745,"4.7293147,-74.0372501","4.66689063,-74.06745315",11.127,0.734166666666667
2019061120344,"4.505743,-74.101184","4.59627497,-74.10256148",16.019000000000002,2.49083333333333
2019052041943,"4.70733295,-74.05147002","4.71058499,-74.05762904",1.506,0.39194444444444393
2019101738281,"4.73013073,-74.04866004","4.65224798,-74.07307694",11.927,0.8441666666666671
2019092550606,"4.72530456,-74.07156453","4.7429671,-74.0372391",6.189,1.3663888888888898
2019080101169,"4.6221819,-74.090874","4.7396507,-74.0836275",17.302,0.485277777777778
2019120611933,"4.62953445,-74.1330235","4.7109886,-74.072092",14.606,0.9461111111111109
2019051324772,"4.72662475,-74.03283625","4.6617691,-74.0664588",10.98,1.18833333333333
2019051733406,"4.6072434,-74.208735","4.7410831,-74.1001098",22.324,0.652222222222222
2019013056951,"4.72376773,-74.06052861","4.72115447,-74.05280119",1.585,0.926666666666667
2019031833125,"4.59725583,-74.10817633","4.59306108,-74.09305811",2.0669999999999997,0.40888888888888897
2019111533598,"4.63662558710732,-74.0622058295692","4.7109886,-74.072092",12.568,1.4591666666666698
2019031121491,"4.6708367,-74.1154077","4.7471694,-74.0559373",13.35,1.5125
2019021934975,"4.69203813,-74.09163365","4.59406808,-74.14560788",17.374000000000002,1.24583333333333
2019101840532,"4.6982755,-74.1188575","4.65775,-74.06713",10.19,0.943055555555556
2019012649504,"4.63744629,-74.07548909","4.6910162,-74.0514401",8.373,1.33055555555556
2019040715405,"4.65533032,-74.06794585","4.69183091,-74.12079197",12.152999999999999,0.505
2019050815807,"4.6230327,-74.093027","4.6205879,-74.0995741",2.613,0.753333333333333
2019121847910,"4.73511110988202,-74.1019430011511","4.7426935,-74.0307161",11.315999999999999,0.40583333333333294
2019042957160,"4.75280662,-74.05693677","4.72249599,-74.09477273",9.109,0.32472222222222197
2019052041213,"4.67418733,-74.05502605","4.666257,-74.06159",3.492,0.455
2019091733850,"4.69595605,-74.03236633","4.6834168,-74.06420948",7.0360000000000005,0.4991666666666671
2019070406665,"4.7136753,-74.0599978","4.64431507,-74.11824837",13.009,0.7811111111111109
2019080918865,"4.7082449,-74.0537588","4.68491167,-74.03171825",6.789,0.988333333333333
2019021730495,"4.59868086,-74.10620625","4.5939742,-74.1295928",3.225,1.30833333333333
2019100511113,"4.693351,-74.0564848","4.7109886,-74.072092",3.904,1.23916666666667
2019012445668,"4.73049627,-74.06777611","4.61637294,-74.09785745",19.342,1.8313888888888898
2019040305388,"4.60965097,-74.11811782","4.63674787,-74.19856049",13.972999999999999,1.59
2019112655633,"4.64276803,-74.13938228","4.66621629,-74.06312545",13.731,1.00611111111111
2019011426648,"4.65686047,-74.09999236","4.66573078,-74.06351586",7.077000000000001,0.638333333333333
2019020407080,"4.67644836,-74.07294006","4.81744985,-74.03506375",18.206,1.17138888888889
2019041835864,"4.75704659,-74.05611207","4.7109886,-74.072092",7.4,1.12833333333333
2019042241181,"4.6662578,-74.1056163","4.6671183,-74.0694906",6.949,1.515
2019021118946,"4.70802109,-74.03943056","4.68218296,-74.04341847",3.8160000000000003,1.73277777777778
2019042650258,"4.6684395,-74.097356","4.7127152,-74.0522632",11.194,0.712777777777778
